Date,Mkt-RF,SMB,HML,RF
  1927,  29.44,  -2.20,  -4.58,   3.12
  1928,  35.56,   3.73,  -5.26,   3.56
  1929, -19.58, -30.68,  11.86,   4.75
  1930, -31.14,  -5.53, -11.76,   2.41
  1931, -44.84,   3.07, -13.69,   1.07
  1932,  -9.60,   5.03,  11.74,   0.96
  1933,  56.49,  44.61,  31.28,   0.30
  1934,   3.09,  25.82, -27.15,   0.16
  1935,  44.87,  10.60,  10.11,   0.17
  1936,  31.98,  18.03,  34.57,   0.18
  1937, -35.01, -14.14,  -3.73,   0.31
  1938,  28.22,   9.33, -11.78,  -0.02
  1939,   2.50,   5.90, -19.16,   0.02
  1940,  -7.20,   0.74,  -0.71,   0.00
  1941, -10.58,  -3.84,  11.19,   0.06
  1942,  16.21,   5.01,  19.69,   0.27
  1943,  28.01,  33.66,  38.70,   0.35
  1944,  21.02,  18.12,  16.24,   0.33
  1945,  38.42,  25.95,  11.20,   0.33
  1946,  -6.74,  -3.63,   3.08,   0.35
  1947,   2.94,  -6.98,   9.72,   0.50
  1948,   1.04,  -9.22,   3.65,   0.81
  1949,  19.08,   3.81,  -4.21,   1.10
  1950,  28.84,   0.76,  27.06,   1.20
  1951,  19.20,  -5.26,  -6.11,   1.49
  1952,  11.81,  -6.75,   3.53,   1.66
  1953,  -1.10,  -1.17,  -7.71,   1.82
  1954,  49.45,  -2.20,  26.18,   0.86
  1955,  23.78,  -6.36,   5.15,   1.57
  1956,   5.87,  -0.88,  -2.13,   2.46
  1957, -13.16,  -2.65,  -6.25,   3.14
  1958,  43.43,  14.53,  13.45,   1.54
  1959,   9.77,   5.30,   1.78,   2.95
  1960,  -1.47,  -3.08,  -4.17,   2.66
  1961,  24.85,   1.05,   5.42,   2.13
  1962, -12.92,  -8.04,   8.71,   2.73
  1963,  17.84,  -6.02,  15.35,   3.12
  1964,  12.55,  -1.17,   9.82,   3.54
  1965,  10.52,  21.84,   7.42,   3.93
  1966, -13.55,   2.70,  -0.83,   4.76
  1967,  24.50,  49.79,  -8.06,   4.21
  1968,   8.91,  24.25,  18.23,   5.21
  1969, -17.52, -13.96, -10.04,   6.58
  1970,  -6.43, -11.80,  21.45,   6.52
  1971,  11.78,   5.69, -10.93,   4.39
  1972,  13.07, -12.16,   1.46,   3.84
  1973, -26.25, -23.36,  17.50,   6.93
  1974, -35.82,  -0.64,   9.65,   8.00
  1975,  32.55,  14.99,   9.36,   5.80
  1976,  21.90,  14.66,  24.26,   5.08
  1977,  -8.25,  22.74,   7.52,   5.12
  1978,   1.06,  14.30,   0.52,   7.18
  1979,  13.07,  20.86,  -2.37,  10.38
  1980,  21.96,   5.29, -24.13,  11.24
  1981, -17.97,   6.72,  24.88,  14.71
  1982,  10.93,   8.20,  12.99,  10.54
  1983,  13.74,  13.94,  20.42,   8.80
  1984,  -5.98,  -7.97,  19.29,   9.85
  1985,  24.91,  -0.06,   0.84,   7.72
  1986,  10.27,  -9.56,   9.55,   6.16
  1987,  -3.84, -10.82,  -1.26,   5.47
  1988,  11.63,   5.49,  14.75,   6.35
  1989,  20.45, -12.70,  -4.40,   8.37
  1990, -13.86, -13.91, -10.11,   7.81
  1991,  29.22,  16.07, -14.64,   5.60
  1992,   6.27,   7.67,  24.34,   3.51
  1993,   8.26,   6.53,  17.05,   2.90
  1994,  -4.05,  -0.46,  -0.76,   3.90
  1995,  31.25,  -9.85,   5.70,   5.60
  1996,  16.00,  -4.65,   8.70,   5.21
  1997,  26.00,  -7.80,  18.26,   5.26
  1998,  19.39, -24.94, -10.77,   4.86
  1999,  20.55,  13.80, -28.61,   4.68
  2000, -17.48,  -4.31,  45.28,   5.89
  2001, -15.03,  17.80,  19.04,   3.83
  2002, -22.77,   3.98,   8.74,   1.65
  2003,  30.67,  26.32,   4.76,   1.02
  2004,  10.75,   4.33,   7.64,   1.20
  2005,   3.13,  -2.45,   9.36,   2.98
  2006,  10.57,   0.12,  11.71,   4.80
  2007,   1.07,  -7.50, -16.92,   4.66
  2008, -38.25,   2.46,   1.24,   1.60
  2009,  28.55,   8.93,  -8.22,   0.10
  2010,  17.32,  13.87,  -5.35,   0.12
  2011,   0.48,  -5.71,  -8.32,   0.04
  2012,  16.30,  -1.22,   9.91,   0.06
  2013,  35.16,   7.64,   2.54,   0.02
  2014,  11.74,  -7.65,  -1.80,   0.02
  2015,   0.20,  -3.89,  -9.53,   0.02
  2016,  13.36,   6.54,  22.81,   0.20
  2017,  21.50,  -5.28, -13.37,   0.80
  2018,  -6.82,  -3.18,  -9.62,   1.81
  2019,  28.34,  -6.34, -10.33,   2.14
  2020,  23.59,  13.48, -46.94,   0.44
  2021,  23.87,  -3.78,  25.61,   0.04
  2022, -21.32,  -7.01,  25.68,   1.42
  2023,  21.75,  -3.54, -13.98,   4.95
  2024,  19.76, -11.34,  -8.71,   5.26

Copyright 2025 Eugene F. Fama and Kenneth R. French
