PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
13027,20111031,20170801,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20111129,,,,,,,,,25.36000,-26.04000,25.96000,135,C,25.61000,25.93000,100,1,1,25.96000,,20111031,C,0.114146,0.112735,0.107697,0.106575,0.107723
13027,20111130,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20111229,,,,,,,,,24.78990,26.20000,26.00000,621,0.001541,25.51000,26.55000,100,1,1,26.00000,,20111130,0.001541,-0.006270,-0.008937,-0.020645,-0.022480,-0.005059
13027,20111230,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,20111221,,,,,20111229,20111227,0,,,1232,0.07843,0.00000,0.00000,,,20120130,,,,,,,,,-25.76500,26.84000,26.72000,2225,0.030709,26.51000,26.79000,300,1,1,26.72000,,20111230,0.027692,0.003676,0.001428,-0.003561,-0.007020,0.008533
13027,20120131,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20120228,,,,,,,,,26.60000,27.26000,27.07000,1655,0.013099,26.96000,27.07000,400,1,1,27.07000,,20120131,0.013099,0.054106,0.052960,0.085342,0.084432,0.043583
13027,20120229,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20120329,,,,,,,,,27.21750,27.74500,27.63800,3825,0.020983,27.63000,27.70000,400,1,1,27.63800,,20120229,0.020983,0.041225,0.038953,0.036494,0.035003,0.040589
13027,20120330,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,20111224,,,,,20120329,20120327,0,,,1232,0.11924,0.00000,0.00000,,,20120429,,,,,,,,,27.53200,28.24000,28.23100,2406,0.025770,28.16000,28.33000,700,1,1,28.23100,,20120330,0.021456,0.024020,0.022138,0.017608,0.015303,0.031332
13027,20120430,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20120530,,,,,,,,,27.69270,28.70900,28.60100,3711,0.013106,28.60000,28.74000,1000,1,1,28.60100,,20120430,0.013106,-0.006829,-0.008046,-0.009106,-0.010235,-0.007497
13027,20120531,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20120628,,,,,,,,,27.51220,28.78000,27.97500,22162,-0.021887,27.90000,27.99000,2500,1,1,27.97500,,20120531,-0.021887,-0.065590,-0.068005,-0.068418,-0.070388,-0.062651
13027,20120629,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,20111224,,,,,20120628,20120626,0,,,1232,0.05492,0.00000,0.00000,,,20120730,,,,,,,,,27.47000,28.94000,28.93990,64436,0.036455,28.91000,28.99000,7000,1,1,28.93990,,20120629,0.034491,0.038151,0.036049,0.034188,0.031622,0.039555
13027,20120731,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20120830,,,,,,,,,28.79000,29.67000,29.50000,59248,0.019354,29.48000,29.50000,11600,1,1,29.50000,,20120731,0.019354,0.010307,0.009055,-0.003281,-0.004484,0.012598
